r_lat,r_lng,neighborhood,locality,county
41.876,-87.641,Near West Side,Chicago,Cook County
41.911,-87.682,West Town,Chicago,Cook County
41.92,-87.67,Bucktown,Chicago,Cook County
41.925,-87.689,Logan Square,Chicago,Cook County
41.885,-87.642,West Loop,Chicago,Cook County
41.831,-87.627,Park Boulevard,Chicago,Cook County
41.92,-87.71,Logan Square,Chicago,Cook County
41.95,-87.71,Irving Park,Chicago,Cook County
41.961,-87.695,North Center,Chicago,Cook County
41.924,-87.676,Bucktown,Chicago,Cook County
41.855,-87.676,Lower West Side,Chicago,Cook County
41.908,-87.686,West Town,Chicago,Cook County
41.958,-87.649,Uptown,Chicago,Cook County
41.874,-87.64,Near West Side,Chicago,Cook County
41.913,-87.664,West Town,Chicago,Cook County
41.92,-87.68,Bucktown,Chicago,Cook County
41.938,-87.698,Avondale,Chicago,Cook County
41.958,-87.674,Lake View,Chicago,Cook County
41.93,-87.67,Lincoln Park,Chicago,Cook County
41.96,-87.7,Irving Park,Chicago,Cook County
41.89,-87.622,Streeterville,Chicago,Cook County
41.875,-87.673,Near West Side,Chicago,Cook County
41.886,-87.625,Chicago Loop,Chicago,Cook County
41.93,-87.68,Lathrop Homes,Chicago,Cook County
41.875,-87.686,Tri-Taylor,Chicago,Cook County
41.89,-87.671,West Town,Chicago,Cook County
41.991,-87.67,Magnolia Glen,Chicago,Cook County
41.879,-87.632,Chicago Loop,Chicago,Cook County
41.935,-87.717,Avondale,Chicago,Cook County
41.97,-87.69,Lincoln Square,Chicago,Cook County
41.957,-87.664,Lake View,Chicago,Cook County
41.94,-87.68,Roscoe Village,Chicago,Cook County
41.91,-87.64,Near North Side,Chicago,Cook County
41.947,-87.695,North Center,Chicago,Cook County
41.95,-87.67,Lake View,Chicago,Cook County
41.999,-87.671,Rogers Park,Chicago,Cook County
41.91,-87.705,West Town,Chicago,Cook County
41.9,-87.7,West Town,Chicago,Cook County
41.926,-87.659,Lincoln Park,Chicago,Cook County
41.903,-87.697,West Town,Chicago,Cook County
42.009,-87.674,Rogers Park,Chicago,Cook County
41.932,-87.701,Logan Square,Chicago,Cook County
